X,Y
4.988866443639456634e+02,4.378575501292314698e+02
5.068866270933936562e+02,4.366942218340682302e+02
5.220482326602370904e+02,4.328595557085880046e+02
5.392081562271016537e+02,4.301631305138065500e+02
5.538059569133552031e+02,4.281604607370810527e+02
5.620477971864625033e+02,4.312880618306820679e+02
5.583091861396330842e+02,4.351695808184605880e+02
5.612625420052924028e+02,4.365451952385099048e+02
5.648396194449654786e+02,4.350167484098884643e+02
5.689689917039412421e+02,4.357821336506914349e+02
5.725743532127117987e+02,4.310327476739641384e+02
5.768259851231841822e+02,4.307830638582058214e+02
5.802664816629556981e+02,4.288155024055862441e+02
5.845552032133307421e+02,4.286552007121638894e+02
5.895194447559856599e+02,4.329807480722034825e+02
5.955965688924194410e+02,4.426159975688626673e+02
5.999820934819467766e+02,4.472307543926337416e+02
6.034676072042321948e+02,4.444474725300465821e+02
6.048850490240697582e+02,4.414803943744166190e+02
6.072660627470227155e+02,4.428580889522372672e+02
6.105880776708136182e+02,4.465697497057371947e+02
6.147441515843952402e+02,4.534003330192433623e+02
6.192567206220157914e+02,4.571151737396439785e+02
6.231655635020196087e+02,4.535887003306637553e+02
6.260036351107742121e+02,4.501168976118615888e+02
6.294147410142795707e+02,4.426340160546026254e+02
6.342952404852666177e+02,4.339919285048281381e+02
6.401934935371323263e+02,4.309562266011893712e+02
6.469353217958284858e+02,4.325229100196320360e+02
6.531419803172007050e+02,4.351496359356983135e+02
6.593865787360923605e+02,4.336025991043208023e+02
6.647379589197843188e+02,4.309863676741790641e+02
6.701152825134357727e+02,4.330732339218977245e+02
6.749977358846202833e+02,4.373419838223247780e+02
6.782213786985563502e+02,4.405544508203535088e+02
6.815359228649224406e+02,4.437724424251821915e+02
6.842837510152360210e+02,4.426445041346623839e+02
6.867504460405821192e+02,4.473360071262698057e+02
6.882183263926729069e+02,4.521012470957597884e+02
6.892823963171199466e+02,4.519467683696709628e+02
6.888542128470602393e+02,4.457353244275353745e+02
6.899064030078684482e+02,4.390064816981515037e+02
6.908486175942277896e+02,4.278302343351015224e+02
6.936590435924227904e+02,4.211030170020512742e+02
6.961311787476766995e+02,4.127344636368843567e+02
6.995332079218915169e+02,4.066012965978238753e+02
7.014836495082306556e+02,3.944636972429676689e+02
7.045244979164648385e+02,3.792132080833301870e+02
7.069400781031179122e+02,3.641968228580848290e+02
7.106282019773375396e+02,3.569758362464467609e+02
7.133950235373979467e+02,3.527388496125283837e+02
7.174354103018815749e+02,3.613859760439253250e+02
7.206048705353188097e+02,3.726799605523955279e+02
7.253025183577194639e+02,3.890406647208045570e+02
7.288025730725953508e+02,3.963729236343693856e+02
7.332475621135135952e+02,4.013865075562291622e+02
7.367976336060460198e+02,3.969554193574170995e+02
7.409353515412562956e+02,3.969756796543983342e+02
