X, Y
1.103311060331612453e+03,3.099070174144743760e+03
1.100553863510062911e+03,3.097400985898583713e+03
1.098164023618996907e+03,3.097182625049614217e+03
1.095663839040562607e+03,3.098885718386446570e+03
1.099132836314332053e+03,3.098904208363254384e+03
1.108646833538851752e+03,3.095074718989684698e+03
1.120761962615970788e+03,3.086523052343993641e+03
1.136156034505127536e+03,3.070908226997556994e+03
1.147290154468612400e+03,3.057110920980671835e+03
1.151400321300774067e+03,3.051253245950218570e+03
1.151528204688028836e+03,3.051717485198694703e+03
1.147741313661543927e+03,3.055507677173168759e+03
1.142395777335627827e+03,3.061789855169323346e+03
1.138228336501442527e+03,3.064279352709203522e+03
1.133782649051218414e+03,3.067078957811031160e+03
1.128840489636645543e+03,3.069883100527718852e+03
1.124235973637965799e+03,3.071335372251840454e+03
1.119033053239523952e+03,3.072855600371119635e+03
1.116397647066034551e+03,3.073424400328463889e+03
1.114277555094322906e+03,3.073326796119460596e+03
1.112987055752741981e+03,3.071800869417548256e+03
1.111096794675493129e+03,3.070463299981801811e+03
1.109191753692312204e+03,3.069892801163009153e+03
1.107331149099966524e+03,3.069762895220107566e+03
1.104982865201490313e+03,3.071428860711860580e+03
1.101605454469527103e+03,3.074480592349775634e+03
1.098549764996745125e+03,3.076330124752514621e+03
1.095450375098141649e+03,3.078054568770182414e+03
1.092009871703732415e+03,3.080019603052436651e+03
1.088814386293502594e+03,3.080750597071522861e+03
1.085433590954638248e+03,3.080862479044198608e+03
1.082851335543938148e+03,3.080349232196674620e+03
1.082118505626870956e+03,3.078441958252162294e+03
1.082521472879000157e+03,3.077123690552403787e+03
1.082931097874180068e+03,3.077412197293129793e+03
1.082749822953819375e+03,3.077993001040819763e+03
1.082044202276697433e+03,3.077259722231109663e+03
1.080293050320562998e+03,3.076729354955600229e+03
1.078312437946115097e+03,3.075779160283692818e+03
1.075755941770540176e+03,3.075141253040083939e+03
1.072596296092389821e+03,3.075214018795742049e+03
1.069098990200851404e+03,3.074422817327188113e+03
1.065722026616418816e+03,3.072911643794055180e+03
1.062207928852987152e+03,3.071741907777254255e+03
1.058979912445227683e+03,3.070583857382995120e+03
1.055933514359420542e+03,3.069592077856344986e+03
1.053248379551959715e+03,3.069542686476953349e+03
1.050864648086017951e+03,3.069502407893581221e+03
1.048824810071947240e+03,3.069654439967205235e+03
1.046769450989047982e+03,3.069819389920626236e+03
1.044701932364072036e+03,3.069370328964666442e+03
1.041540457742674334e+03,3.071253504528570375e+03
1.038071594785605157e+03,3.073173609751826007e+03
1.033999394984357423e+03,3.075172286085155974e+03
1.029277522361197953e+03,3.077181983933447555e+03
1.024130766283787580e+03,3.079411828865815551e+03
1.019208239560258903e+03,3.079447047035288051e+03
1.013056071454140920e+03,3.081130413174184469e+03
1.007845444882981042e+03,3.081574300172551375e+03
1.003136771693284800e+03,3.081580664894361234e+03
9.988005553933986675e+02,3.082478169941059605e+03
9.951984271654800978e+02,3.084372653833238019e+03
9.921931137205582445e+02,3.086254964192778971e+03
9.888161708907995262e+02,3.089648504153979047e+03
9.863132239860600521e+02,3.093220155027565852e+03
9.840876055560795521e+02,3.096261292261289782e+03
9.823162714683908234e+02,3.098600637075549457e+03
9.810312996050222409e+02,3.099934854367604203e+03
9.802946672340492569e+02,3.098956890577112063e+03
9.795670677947416607e+02,3.097494962043669148e+03
9.786076564249182184e+02,3.095915994360176228e+03
9.773273229348674249e+02,3.095250167899780536e+03
9.756968755776417765e+02,3.095720910024709156e+03
9.735365888661543750e+02,3.097490675152289441e+03
9.713646413736159957e+02,3.098601061575011045e+03
9.689856532808610154e+02,3.100347464066127486e+03
9.670394301488406654e+02,3.101297789686046599e+03
9.652405384278503107e+02,3.102983251069406833e+03
9.625360466300292046e+02,3.106166824423097296e+03
9.598327607344002672e+02,3.109186833410428335e+03
9.572560611864269049e+02,3.112037310913668080e+03
9.547197569320680941e+02,3.115090125122835161e+03
9.532974076728828550e+02,3.116985759587096254e+03
9.524735555727858127e+02,3.118008869227884134e+03
9.516749786043260428e+02,3.118292236464861162e+03
9.514024624743169625e+02,3.117233841798991307e+03
9.515207887955887145e+02,3.116149054384577539e+03
9.514715400029309649e+02,3.115641910834052851e+03
9.514393187669442113e+02,3.116371909859302832e+03
9.515607135127519314e+02,3.116795741292694402e+03
9.518209854903668656e+02,3.116486793000588477e+03
9.521395303515973865e+02,3.116162418239583531e+03
9.521308763451402228e+02,3.116305936254343578e+03
9.520605244907189899e+02,3.116594085853142587e+03
9.513524717743803194e+02,3.120272983391050730e+03
9.507137400744891238e+02,3.122648406769216308e+03
9.506205315856736888e+02,3.125119372171388022e+03
9.510282479759405305e+02,3.127867086564857800e+03
9.513511654626447580e+02,3.130273789297616531e+03
9.516942057904693684e+02,3.132059348442297960e+03
9.515076051560357655e+02,3.135313739655824975e+03
9.515720129160778242e+02,3.135745056722250411e+03
9.518331107450965192e+02,3.135903284199985137e+03
9.523763890975861841e+02,3.135777520353622094e+03
9.525974269248356450e+02,3.135580405995839556e+03
9.526003751856690087e+02,3.135699643124559771e+03
9.528109137713892096e+02,3.135722009341943249e+03
9.532797844137212451e+02,3.136141396538900153e+03
9.534023425627186725e+02,3.136231762589973641e+03
9.530732619801447072e+02,3.136946823251683327e+03
9.545160762992873060e+02,3.134170489954462028e+03
9.551216437916100404e+02,3.133370474983453278e+03
9.558847898015037572e+02,3.132989602498038039e+03
9.562584285214745705e+02,3.133395402168852343e+03
9.565995642625259734e+02,3.134762768522833539e+03
9.574799720839808970e+02,3.137055587569032468e+03
9.612015157487018087e+02,3.136002213495572505e+03
9.639698045200312890e+02,3.136625556960764243e+03
9.670714967824327459e+02,3.137230428954578656e+03
9.697626684930976353e+02,3.137658123422473182e+03
9.717930061978615868e+02,3.138532176688118852e+03
9.728043687789070191e+02,3.139289111501882871e+03
9.732793778636794286e+02,3.139943675361088935e+03
9.737550547118228224e+02,3.139454329953500292e+03
9.726043433928407467e+02,3.139238277191654561e+03
9.722967580535033676e+02,3.138916086752046795e+03
9.721041984667087945e+02,3.138582110380444647e+03
9.728489526113776265e+02,3.138010928923626125e+03
9.746825173203287704e+02,3.138282641166641952e+03
9.773378108295896709e+02,3.138014985691670518e+03
9.783292909230489158e+02,3.138126807705250030e+03
9.802688787843666205e+02,3.137911405272892807e+03
9.823184753589260936e+02,3.137691915673193762e+03
9.855393017617507212e+02,3.137069773227810401e+03
9.886811223982024330e+02,3.137013083109723993e+03
9.914684985819342273e+02,3.136965664645166726e+03
9.945766162051512538e+02,3.137174206329545086e+03
9.977760790414124585e+02,3.137200117321979633e+03
1.000928472334812568e+03,3.137026074805458848e+03
1.004943610321419328e+03,3.136401115715287233e+03
1.007677415248728721e+03,3.136956241196160590e+03
1.010240191780174655e+03,3.137460375474562170e+03
1.013572646808455829e+03,3.138390629462967354e+03
1.017709743946976118e+03,3.139731997862237677e+03
1.023783414933392692e+03,3.139632897074279299e+03
1.030464923942683527e+03,3.139526986806567038e+03
1.036695848733820412e+03,3.140233699512478779e+03
1.042540044529540864e+03,3.140074802905095567e+03
1.047704128575617688e+03,3.139948876898248272e+03
1.052160668537811716e+03,3.140751547489896438e+03
1.057366740460917526e+03,3.139784470779367439e+03
1.061603541300688448e+03,3.140172570271866334e+03
1.066775758205086731e+03,3.140311384386604914e+03
1.072335356864411551e+03,3.140733845030094471e+03
1.079092372436069809e+03,3.139452532184747270e+03
1.085459377908895476e+03,3.138541774506594720e+03
1.092873733013502715e+03,3.136645483771927502e+03
1.099938616666560392e+03,3.135996690429441060e+03
1.106021389049437403e+03,3.136499542648823081e+03
1.111039162380949620e+03,3.137497350494469174e+03
1.115848756310026602e+03,3.138691624658649744e+03
1.119716462680150244e+03,3.139844169789020270e+03
1.124161089659642585e+03,3.139551670713802196e+03
1.127491038825337455e+03,3.139066222549027771e+03
1.131565345852958899e+03,3.138509897231506329e+03
1.134594001784264492e+03,3.137988264134539804e+03
1.136973286751201613e+03,3.138111282221386318e+03
1.139133152460645761e+03,3.139605278598084624e+03
1.140150116076246832e+03,3.139732859188056864e+03
1.140271503138891376e+03,3.140200766477687012e+03
1.142179191242180195e+03,3.139937974374598525e+03
1.143328945131959472e+03,3.139628522045049976e+03
1.144766830778904023e+03,3.138902552351729355e+03
1.146893995595072283e+03,3.139655222868913825e+03
1.148895821083151532e+03,3.139876913267743475e+03
1.152401597463330063e+03,3.141194744609530972e+03
1.157669596379975019e+03,3.141934059841085400e+03
1.163618267270555407e+03,3.142276305292951292e+03
1.168965454338383097e+03,3.143730195596686826e+03
1.173857195419425125e+03,3.143286801893179472e+03
1.177463628615294510e+03,3.142567037000068922e+03
1.179323167994794858e+03,3.143483612850638565e+03
1.181739201140711430e+03,3.143474878154711405e+03
1.183866755559095509e+03,3.144374397756037069e+03
1.185513816801811345e+03,3.146631826091482253e+03
1.188163827394188957e+03,3.146366861844401683e+03
1.188171472145734242e+03,3.145666931369247777e+03
1.185122170304220163e+03,3.146326046540052630e+03
1.183453063295026595e+03,3.145596084034254091e+03
1.183943262444124684e+03,3.144825640695177299e+03
1.187828877128162276e+03,3.144228184461185720e+03
1.195044627881634369e+03,3.142642391386892086e+03
1.200186457130319013e+03,3.141330976387985174e+03
1.205931674021236631e+03,3.138721967906115424e+03
1.212513989534262237e+03,3.134686353744470125e+03
1.217867477793369517e+03,3.128989147891781613e+03
1.220533040529149503e+03,3.126609060193224650e+03
1.221863925406558110e+03,3.125948187381924981e+03
1.219767595921242901e+03,3.129885812566896220e+03
1.222175348580646641e+03,3.130615890409207168e+03
1.224671923107866178e+03,3.130852417996833537e+03
1.224597242544659821e+03,3.131617332962632190e+03
1.223084918471752644e+03,3.133278863046329207e+03
1.221554740468566933e+03,3.133915484732138793e+03
1.219398173419021077e+03,3.136061079872165465e+03
1.220972689708353755e+03,3.134169817853032328e+03
1.222661635861589730e+03,3.132737224765935480e+03
1.222657869498573746e+03,3.132006188633303736e+03
1.222682982436856491e+03,3.130728246772208877e+03
1.222193889890846094e+03,3.130964202317140916e+03
1.221018189617539974e+03,3.130949037912860149e+03
1.221788320535163621e+03,3.130869996434678797e+03
1.222680362019786571e+03,3.131089892959280405e+03
1.223840319856959695e+03,3.131364939496401348e+03
1.225066758329321374e+03,3.133414159751267562e+03
1.227235252599172327e+03,3.137447616325594936e+03
1.229777293590631416e+03,3.140583497592439471e+03
1.233025753190852811e+03,3.143370829524923920e+03
1.234623308883266418e+03,3.144587159510580022e+03
1.236828547521253313e+03,3.144231336717078193e+03
1.235896676563331084e+03,3.145944995571989239e+03
1.241323912458567520e+03,3.140664202516795740e+03
1.247517037208401689e+03,3.134183803663237086e+03
1.251168999082094388e+03,3.130848393147452498e+03
1.251651453558867161e+03,3.130331877515105589e+03
1.250492429588175582e+03,3.131550884133930595e+03
1.243089979553519697e+03,3.138914438369964955e+03
1.241020448047780292e+03,3.140444281690016851e+03
1.238410493126838674e+03,3.142240427903152977e+03
1.236117627148159499e+03,3.143858943578513390e+03
1.239702019987914127e+03,3.137901373238202723e+03
1.243460230280290489e+03,3.131127254145720144e+03
1.242648060796254867e+03,3.128508229581280830e+03
1.239496849965843012e+03,3.129858784495025247e+03
1.232029568171409210e+03,3.135816217631678683e+03
1.225860694241831879e+03,3.141714390999099578e+03
