nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
1654.5471249534985,1656.4336700439467,1691.0566784086695,1661.1008700416214,1690.7560526529962,1655.2990635463184,1713.7895122709742,1633.259479341054,1690.007794698081,1638.5070728120363,1663.3318118140824,1701.9941181001223,1748.2156299409426,1623.8815202258895,1744.0506315685468,1603.5060704549167,1774.863172258651,728.2511226109102,722.7033560616635,723.7687276204433,728.4975186302554,724.7437983921602,751.1596109299439,751.1562603541788,796.0531914120636,773.1061909993496,789.5730678013399,793.8134649367566,853.2642756870821,846.1200866699226,879.232505435036,874.1857118152444,954.5274774460573,937.3565426781071
1655.2381791614364,1656.9658126831068,1691.3700532459093,1661.3865000406913,1690.9045170375293,1655.3113170805445,1713.6081572033124,1633.1598543439604,1690.0506857009175,1638.5686580113015,1664.2436131068653,1702.1667865571535,1748.4512270972857,1623.8734156290702,1743.7580660865433,1603.4574101765963,1774.9846947079627,729.366361163912,723.9646137782511,724.2910890125099,729.1449544997448,725.3006175813226,751.1967286609474,750.9034710838687,796.145113990421,772.0183330717548,790.0122230166487,793.7564846220478,854.2025793166395,845.7444163731174,879.0615372430717,874.1539669945133,954.5976112002425,937.1771036783862
1655.4648241315583,1657.0011429559631,1691.7891438802098,1661.457640148346,1690.905637468612,1654.9338734944674,1713.8335040864504,1633.1695033482156,1690.0217343284985,1638.3647072201697,1664.709413800922,1701.6694735572464,1748.245984758651,1623.6595498947884,1744.2281210763128,1603.53692445301,1775.2299325125573,729.9038961501354,724.4469818841849,724.4118016560878,729.4882002330968,725.53244200207,751.2564432053346,750.961908612933,795.9362117222383,772.2037905738473,790.8759169805624,793.9036182221919,854.5746677943646,846.0742136637377,878.9484979538698,874.751296270462,954.0874052501867,937.6538071405328
1655.8981704711928,1657.3519799368735,1692.1924140566884,1661.4151000976576,1691.132031395323,1654.7843199230388,1714.000829060874,1634.069658915203,1690.6276096162355,1637.7978561038076,1664.1009361630408,1701.30339122954,1748.2090068998805,1623.3034558977413,1744.4839746384407,1603.8206736246757,1775.145856584823,731.5327898661302,726.0261800856823,724.2644718715129,730.2363441103987,725.8507844834106,751.7308607555576,751.0257844470802,795.544793991816,770.0561232793905,791.1260775611521,794.0327965872634,854.6924409412209,846.5647844587061,879.222239903042,875.1428353445878,953.6904921758751,937.8575323195691
1656.0715971447185,1657.1083940778474,1692.5635535830556,1661.7640388125478,1691.8750559488944,1654.6479281470902,1714.3241628011083,1633.7888681320928,1689.8572358630965,1637.609674726215,1663.5847313290565,1700.5007723853716,1748.0244562058235,1622.9869686308375,1745.085834321523,1603.5370072864364,1775.2784220377619,731.9235080537348,726.3875365484334,723.7257080078131,731.323453267416,726.0241968064088,751.967383248466,750.8666418166393,795.4217304048091,773.3829338437041,792.6206396193738,794.0898924328039,854.654123215449,846.1008540562228,879.6140238444018,875.7290039062507,953.6796162923184,938.2393493652351
1655.4319610595717,1656.4144301641568,1691.636609758651,1661.4792720249734,1691.5216231573208,1653.607315790087,1714.3733055478065,1633.8139608474019,1689.4178001767127,1637.286521003361,1662.3557041713184,1699.5169714064837,1747.4588891892222,1621.9091611589718,1745.2645343598879,1603.2713296072836,1775.507205054875,730.9349692208432,725.7215826851987,723.6117488316133,731.0892344883515,725.8964171636678,752.1763400123239,750.6076583862312,795.3619639078782,778.9303290957503,792.4221896216989,794.3108436947784,855.0745987665092,846.1965310232987,879.0910513741637,875.9481840587805,953.6410827636726,938.8655729747961
1654.4667932419563,1655.437422979447,1691.3251459030892,1660.9517582484668,1690.9327087402357,1652.9065638950906,1714.3207586379292,1633.7557667323533,1689.1379387265174,1637.0254647391198,1661.7668558756523,1699.3821461995456,1746.790417625792,1621.1790833246155,1745.1098981584837,1603.3159063430073,1775.7869219098786,730.6637333461222,724.5822227114729,723.2472697666719,730.2177302042649,725.2109632946202,752.1965324765166,750.7084815615706,795.5514279320133,785.7018839518236,791.3966602143794,795.032302856446,854.4706420898444,846.2090170724058,878.3791256859197,876.1448088146399,953.4022725423185,939.0734122140075
1654.260666620165,1655.2324923560745,1691.3133624848879,1661.2291354224808,1691.193495977494,1651.8318285260893,1714.6068078903938,1632.8027136666446,1688.7654237293077,1637.4062338329509,1662.838556925457,1698.865653628396,1745.8762265159985,1619.9999429611946,1744.6081942603714,1602.973704383488,1775.7587236676911,731.0703277587897,724.7179478236612,723.3174583798368,730.1041975475498,725.2306849161789,752.2879475184856,751.2931623912998,795.8586542038697,792.2053033737916,790.0864650181368,795.6450932820644,853.1158301943831,845.7701525006983,877.586236136301,876.358707246327,953.4923270089294,938.9616481236056
1653.781119210381,1654.670279366631,1691.3802918933702,1660.9281020391568,1691.3554883684444,1651.968373616538,1714.9049675351112,1632.8436980474576,1688.362976800829,1637.1290330432723,1663.5898321242573,1697.5264340355297,1745.0242643810466,1619.0254683721646,1744.2279561360692,1602.7143801734574,1775.4631841750386,731.1894702003121,724.8284457978755,724.1417292640328,729.5429175240658,725.5432034447085,751.9806042625796,752.5518362862729,795.6235111781535,795.3451712472105,790.1537184942342,794.8954111735032,852.4583565848221,846.1947290329713,876.8872092110777,877.1912362234941,953.2229265485498,938.8491022019167
1653.7443513416124,1654.4747401646218,1691.5328390938907,1660.8451280139755,1691.619773501443,1651.588059924899,1714.8204694475462,1632.6208118257082,1688.2200702485598,1637.1339180355994,1664.4399537586044,1696.20307486398,1744.6973876953139,1618.2747918991831,1744.0454392206116,1602.6661122639985,1775.2260974702394,731.077374776205,724.6802389962338,724.9181743803484,729.2457584199458,725.5567027500704,752.01183573405,752.8957388741635,795.4305194673091,793.2819853283117,789.2276872907372,794.6245211646676,852.0431474958154,846.444650559199,876.3321257091711,877.0319998604919,952.8005022321436,938.7682117280514
